pt_graph scale
11593 14.48
11593 1.16
11593 25.44
11593 18.04
11594 14.48
11594 1.16
11594 25.44
11594 18.04
11595 14.48
11595 1.16
11595 25.44
11595 18.04
11596 14.48
11596 1.16
11596 25.44
11596 18.04
11703 14.48
11703 1.16
11703 25.44
11703 18.04
11704 14.48
11704 1.16
11704 25.44
11704 18.04
11705 14.48
11705 1.16
11705 25.44
11705 18.04
11706 14.48
11706 1.16
11706 25.44
11706 18.04
11809 14.48
11809 1.16
11809 25.44
11809 18.04
11810 14.48
11810 1.16
11810 25.44
11810 18.04
11811 14.48
11811 1.16
11811 25.44
11811 18.04
11812 14.48
11812 1.16
11812 25.44
11812 18.04
11813 14.48
11813 1.16
11813 25.44
11813 18.04
11814 14.48
11814 1.16
11814 25.44
11814 18.04
11815 14.48
11815 1.16
11815 25.44
11815 18.04
11816 14.48
11816 1.16
11816 25.44
11816 18.04
11918 14.48
11918 1.16
11918 25.44
11918 18.04
11919 14.48
11919 1.16
11919 25.44
11919 18.04
11920 14.48
11920 1.16
11920 25.44
11920 18.04
11921 14.48
11921 1.16
11921 25.44
11921 18.04
11922 14.48
11922 1.16
11922 25.44
11922 18.04
11923 14.48
11923 1.16
11923 25.44
11923 18.04
11924 14.48
11924 1.16
11924 25.44
11924 18.04
11925 14.48
11925 1.16
11925 25.44
11925 18.04
11926 14.48
11926 1.16
11926 25.44
11926 18.04
12027 14.48
12027 1.16
12027 25.44
12027 18.04
12028 14.48
12028 1.16
12028 25.44
12028 18.04
12029 14.48
12029 1.16
12029 25.44
12029 18.04
12030 14.48
12030 1.16
12030 25.44
12030 18.04
12031 14.48
12031 1.16
12031 25.44
12031 18.04
12032 14.48
12032 1.16
12032 25.44
12032 18.04
12033 14.48
12033 1.16
12033 25.44
12033 18.04
12034 14.48
12034 1.16
12034 25.44
12034 18.04
12035 14.48
12035 1.16
12035 25.44
12035 18.04
12130 14.48
12130 1.16
12130 25.44
12130 18.04
12131 14.48
12131 1.16
12131 25.44
12131 18.04
12132 14.48
12132 1.16
12132 25.44
12132 18.04
12133 14.48
12133 1.16
12133 25.44
12133 18.04
12134 14.48
12134 1.16
12134 25.44
12134 18.04
12135 14.48
12135 1.16
12135 25.44
12135 18.04
12136 14.48
12136 1.16
12136 25.44
12136 18.04
12137 14.48
12137 1.16
12137 25.44
12137 18.04
12138 14.48
12138 1.16
12138 25.44
12138 18.04
12139 14.48
12139 1.16
12139 25.44
12139 18.04
12140 14.48
12140 1.16
12140 25.44
12140 18.04
12141 14.48
12141 1.16
12141 25.44
12141 18.04
12142 14.48
12142 1.16
12142 25.44
12142 18.04
12143 14.48
12143 1.16
12143 25.44
12143 18.04
12238 14.48
12238 1.16
12238 25.44
12238 18.04
12239 14.48
12239 1.16
12239 25.44
12239 18.04
12240 14.48
12240 1.16
12240 25.44
12240 18.04
12241 14.48
12241 1.16
12241 25.44
12241 18.04
12242 14.48
12242 1.16
12242 25.44
12242 18.04
12243 14.48
12243 1.16
12243 25.44
12243 18.04
12244 14.48
12244 1.16
12244 25.44
12244 18.04
12245 14.48
12245 1.16
12245 25.44
12245 18.04
12246 14.48
12246 1.16
12246 25.44
12246 18.04
12247 14.48
12247 1.16
12247 25.44
12247 18.04
12248 14.48
12248 1.16
12248 25.44
12248 18.04
12249 14.48
12249 1.16
12249 25.44
12249 18.04
12250 14.48
12250 1.16
12250 25.44
12250 18.04
12251 14.48
12251 1.16
12251 25.44
12251 18.04
12344 14.48
12344 1.16
12344 25.44
12344 18.04
12345 14.48
12345 1.16
12345 25.44
12345 18.04
12346 14.48
12346 1.16
12346 25.44
12346 18.04
12347 14.48
12347 1.16
12347 25.44
12347 18.04
12348 14.48
12348 1.16
12348 25.44
12348 18.04
12349 14.48
12349 1.16
12349 25.44
12349 18.04
12350 14.48
12350 1.16
12350 25.44
12350 18.04
12351 14.48
12351 1.16
12351 25.44
12351 18.04
12352 14.48
12352 1.16
12352 25.44
12352 18.04
12353 14.48
12353 1.16
12353 25.44
12353 18.04
12354 14.48
12354 1.16
12354 25.44
12354 18.04
12355 14.48
12355 1.16
12355 25.44
12355 18.04
12356 14.48
12356 1.16
12356 25.44
12356 18.04
12357 14.48
12357 1.16
12357 25.44
12357 18.04
12358 14.48
12358 1.16
12358 25.44
12358 18.04
12359 14.48
12359 1.16
12359 25.44
12359 18.04
12360 14.48
12360 1.16
12360 25.44
12360 18.04
12453 14.48
12453 1.16
12453 25.44
12453 18.04
12454 14.48
12454 1.16
12454 25.44
12454 18.04
12455 14.48
12455 1.16
12455 25.44
12455 18.04
12456 14.48
12456 1.16
12456 25.44
12456 18.04
12457 14.48
12457 1.16
12457 25.44
12457 18.04
12458 14.48
12458 1.16
12458 25.44
12458 18.04
12459 14.48
12459 1.16
12459 25.44
12459 18.04
12460 14.48
12460 1.16
12460 25.44
12460 18.04
12461 14.48
12461 1.16
12461 25.44
12461 18.04
12462 14.48
12462 1.16
12462 25.44
12462 18.04
12463 14.48
12463 1.16
12463 25.44
12463 18.04
12464 14.48
12464 1.16
12464 25.44
12464 18.04
12465 14.48
12465 1.16
12465 25.44
12465 18.04
12466 14.48
12466 1.16
12466 25.44
12466 18.04
12467 14.48
12467 1.16
12467 25.44
12467 18.04
12468 14.48
12468 1.16
12468 25.44
12468 18.04
12469 14.48
12469 1.16
12469 25.44
12469 18.04
12558 14.48
12558 1.16
12558 25.44
12558 18.04
12559 14.48
12559 1.16
12559 25.44
12559 18.04
12560 14.48
12560 1.16
12560 25.44
12560 18.04
12561 14.48
12561 1.16
12561 25.44
12561 18.04
12562 14.48
12562 1.16
12562 25.44
12562 18.04
12563 14.48
12563 1.16
12563 25.44
12563 18.04
12564 14.48
12564 1.16
12564 25.44
12564 18.04
12565 14.48
12565 1.16
12565 25.44
12565 18.04
12566 14.48
12566 1.16
12566 25.44
12566 18.04
12567 14.48
12567 1.16
12567 25.44
12567 18.04
12568 14.48
12568 1.16
12568 25.44
12568 18.04
12569 14.48
12569 1.16
12569 25.44
12569 18.04
12570 14.48
12570 1.16
12570 25.44
12570 18.04
12571 14.48
12571 1.16
12571 25.44
12571 18.04
12572 14.48
12572 1.16
12572 25.44
12572 18.04
12573 14.48
12573 1.16
12573 25.44
12573 18.04
12574 14.48
12574 1.16
12574 25.44
12574 18.04
12575 14.48
12575 1.16
12575 25.44
12575 18.04
12576 14.48
12576 1.16
12576 25.44
12576 18.04
12577 14.48
12577 1.16
12577 25.44
12577 18.04
12666 14.48
12666 1.16
12666 25.44
12666 18.04
12667 14.48
12667 1.16
12667 25.44
12667 18.04
12668 14.48
12668 1.16
12668 25.44
12668 18.04
12669 14.48
12669 1.16
12669 25.44
12669 18.04
12670 14.48
12670 1.16
12670 25.44
12670 18.04
12671 14.48
12671 1.16
12671 25.44
12671 18.04
12672 14.48
12672 1.16
12672 25.44
12672 18.04
12673 14.48
12673 1.16
12673 25.44
12673 18.04
12674 14.48
12674 1.16
12674 25.44
12674 18.04
12675 14.48
12675 1.16
12675 25.44
12675 18.04
12676 14.48
12676 1.16
12676 25.44
12676 18.04
12677 14.48
12677 1.16
12677 25.44
12677 18.04
12678 14.48
12678 1.16
12678 25.44
12678 18.04
12679 14.48
12679 1.16
12679 25.44
12679 18.04
12680 14.48
12680 1.16
12680 25.44
12680 18.04
12681 14.48
12681 1.16
12681 25.44
12681 18.04
12682 14.48
12682 1.16
12682 25.44
12682 18.04
12683 14.48
12683 1.16
12683 25.44
12683 18.04
12684 14.48
12684 1.16
12684 25.44
12684 18.04
12685 14.48
12685 1.16
12685 25.44
12685 18.04
12686 14.48
12686 1.16
12686 25.44
12686 18.04
12771 14.48
12771 1.16
12771 25.44
12771 18.04
12772 14.48
12772 1.16
12772 25.44
12772 18.04
12773 14.48
12773 1.16
12773 25.44
12773 18.04
12774 14.48
12774 1.16
12774 25.44
12774 18.04
12775 14.48
12775 1.16
12775 25.44
12775 18.04
12776 14.48
12776 1.16
12776 25.44
12776 18.04
12777 14.48
12777 1.16
12777 25.44
12777 18.04
12778 14.48
12778 1.16
12778 25.44
12778 18.04
12779 14.48
12779 1.16
12779 25.44
12779 18.04
12780 14.48
12780 1.16
12780 25.44
12780 18.04
12781 14.48
12781 1.16
12781 25.44
12781 18.04
12782 14.48
12782 1.16
12782 25.44
12782 18.04
12783 14.48
12783 1.16
12783 25.44
12783 18.04
12784 14.48
12784 1.16
12784 25.44
12784 18.04
12785 14.48
12785 1.16
12785 25.44
12785 18.04
12786 14.48
12786 1.16
12786 25.44
12786 18.04
12787 14.48
12787 1.16
12787 25.44
12787 18.04
12788 14.48
12788 1.16
12788 25.44
12788 18.04
12789 14.48
12789 1.16
12789 25.44
12789 18.04
12790 14.48
12790 1.16
12790 25.44
12790 18.04
12791 14.48
12791 1.16
12791 25.44
12791 18.04
12873 14.48
12873 1.16
12873 25.44
12873 18.04
12874 14.48
12874 1.16
12874 25.44
12874 18.04
12875 14.48
12875 1.16
12875 25.44
12875 18.04
12876 14.48
12876 1.16
12876 25.44
12876 18.04
12877 14.48
12877 1.16
12877 25.44
12877 18.04
12878 14.48
12878 1.16
12878 25.44
12878 18.04
12879 14.48
12879 1.16
12879 25.44
12879 18.04
12880 14.48
12880 1.16
12880 25.44
12880 18.04
12881 14.48
12881 1.16
12881 25.44
12881 18.04
12882 14.48
12882 1.16
12882 25.44
12882 18.04
12883 14.48
12883 1.16
12883 25.44
12883 18.04
12884 14.48
12884 1.16
12884 25.44
12884 18.04
12885 14.48
12885 1.16
12885 25.44
12885 18.04
12886 14.48
12886 1.16
12886 25.44
12886 18.04
12887 14.48
12887 1.16
12887 25.44
12887 18.04
12888 14.48
12888 1.16
12888 25.44
12888 18.04
12889 14.48
12889 1.16
12889 25.44
12889 18.04
12890 14.48
12890 1.16
12890 25.44
12890 18.04
12891 14.48
12891 1.16
12891 25.44
12891 18.04
12892 14.48
12892 1.16
12892 25.44
12892 18.04
12893 14.48
12893 1.16
12893 25.44
12893 18.04
12894 14.48
12894 1.16
12894 25.44
12894 18.04
12895 14.48
12895 1.16
12895 25.44
12895 18.04
12896 14.48
12896 1.16
12896 25.44
12896 18.04
12981 14.48
12981 1.16
12981 25.44
12981 18.04
12982 14.48
12982 1.16
12982 25.44
12982 18.04
12983 14.48
12983 1.16
12983 25.44
12983 18.04
12984 14.48
12984 1.16
12984 25.44
12984 18.04
12985 14.48
12985 1.16
12985 25.44
12985 18.04
12986 14.48
12986 1.16
12986 25.44
12986 18.04
12987 14.48
12987 1.16
12987 25.44
12987 18.04
12988 14.48
12988 1.16
12988 25.44
12988 18.04
12989 14.48
12989 1.16
12989 25.44
12989 18.04
12990 14.48
12990 1.16
12990 25.44
12990 18.04
12991 14.48
12991 1.16
12991 25.44
12991 18.04
12992 14.48
12992 1.16
12992 25.44
12992 18.04
12993 14.48
12993 1.16
12993 25.44
12993 18.04
12994 14.48
12994 1.16
12994 25.44
12994 18.04
12995 14.48
12995 1.16
12995 25.44
12995 18.04
12996 14.48
12996 1.16
12996 25.44
12996 18.04
12997 14.48
12997 1.16
12997 25.44
12997 18.04
12998 14.48
12998 1.16
12998 25.44
12998 18.04
12999 14.48
12999 1.16
12999 25.44
12999 18.04
13000 14.48
13000 1.16
13000 25.44
13000 18.04
13001 14.48
13001 1.16
13001 25.44
13001 18.04
13002 14.48
13002 1.16
13002 25.44
13002 18.04
13003 14.48
13003 1.16
13003 25.44
13003 18.04
13086 14.48
13086 1.16
13086 25.44
13086 18.04
13087 14.48
13087 1.16
13087 25.44
13087 18.04
13088 14.48
13088 1.16
13088 25.44
13088 18.04
13089 14.48
13089 1.16
13089 25.44
13089 18.04
13090 14.48
13090 1.16
13090 25.44
13090 18.04
13091 14.48
13091 1.16
13091 25.44
13091 18.04
13092 14.48
13092 1.16
13092 25.44
13092 18.04
13093 14.48
13093 1.16
13093 25.44
13093 18.04
13094 14.48
13094 1.16
13094 25.44
13094 18.04
13095 14.48
13095 1.16
13095 25.44
13095 18.04
13096 14.48
13096 1.16
13096 25.44
13096 18.04
13097 14.48
13097 1.16
13097 25.44
13097 18.04
13098 14.48
13098 1.16
13098 25.44
13098 18.04
13099 14.48
13099 1.16
13099 25.44
13099 18.04
13100 14.48
13100 1.16
13100 25.44
13100 18.04
13101 14.48
13101 1.16
13101 25.44
13101 18.04
13102 14.48
13102 1.16
13102 25.44
13102 18.04
13103 14.48
13103 1.16
13103 25.44
13103 18.04
13104 14.48
13104 1.16
13104 25.44
13104 18.04
13105 14.48
13105 1.16
13105 25.44
13105 18.04
13106 14.48
13106 1.16
13106 25.44
13106 18.04
13107 14.48
13107 1.16
13107 25.44
13107 18.04
13108 14.48
13108 1.16
13108 25.44
13108 18.04
13109 14.48
13109 1.16
13109 25.44
13109 18.04
13110 14.48
13110 1.16
13110 25.44
13110 18.04
13111 14.48
13111 1.16
13111 25.44
13111 18.04
13197 14.48
13197 1.16
13197 25.44
13197 18.04
13198 14.48
13198 1.16
13198 25.44
13198 18.04
13199 14.48
13199 1.16
13199 25.44
13199 18.04
13200 14.48
13200 1.16
13200 25.44
13200 18.04
13201 14.48
13201 1.16
13201 25.44
13201 18.04
13202 14.48
13202 1.16
13202 25.44
13202 18.04
13203 14.48
13203 1.16
13203 25.44
13203 18.04
13204 14.48
13204 1.16
13204 25.44
13204 18.04
13205 14.48
13205 1.16
13205 25.44
13205 18.04
13206 14.48
13206 1.16
13206 25.44
13206 18.04
13207 14.48
13207 1.16
13207 25.44
13207 18.04
13208 14.48
13208 1.16
13208 25.44
13208 18.04
13209 14.48
13209 1.16
13209 25.44
13209 18.04
13210 14.48
13210 1.16
13210 25.44
13210 18.04
13211 14.48
13211 1.16
13211 25.44
13211 18.04
13212 14.48
13212 1.16
13212 25.44
13212 18.04
13213 14.48
13213 1.16
13213 25.44
13213 18.04
13214 14.48
13214 1.16
13214 25.44
13214 18.04
13215 14.48
13215 1.16
13215 25.44
13215 18.04
13216 14.48
13216 1.16
13216 25.44
13216 18.04
13217 14.48
13217 1.16
13217 25.44
13217 18.04
13218 14.48
13218 1.16
13218 25.44
13218 18.04
13219 14.48
13219 1.16
13219 25.44
13219 18.04
13220 14.48
13220 1.16
13220 25.44
13220 18.04
13221 14.48
13221 1.16
13221 25.44
13221 18.04
13222 14.48
13222 1.16
13222 25.44
13222 18.04
13304 14.48
13304 1.16
13304 25.44
13304 18.04
13305 14.48
13305 1.16
13305 25.44
13305 18.04
13306 14.48
13306 1.16
13306 25.44
13306 18.04
13307 14.48
13307 1.16
13307 25.44
13307 18.04
13308 14.48
13308 1.16
13308 25.44
13308 18.04
13309 14.48
13309 1.16
13309 25.44
13309 18.04
13310 14.48
13310 1.16
13310 25.44
13310 18.04
13311 14.48
13311 1.16
13311 25.44
13311 18.04
13312 14.48
13312 1.16
13312 25.44
13312 18.04
13313 14.48
13313 1.16
13313 25.44
13313 18.04
13314 14.48
13314 1.16
13314 25.44
13314 18.04
13315 14.48
13315 1.16
13315 25.44
13315 18.04
13316 14.48
13316 1.16
13316 25.44
13316 18.04
13317 14.48
13317 1.16
13317 25.44
13317 18.04
13318 14.48
13318 1.16
13318 25.44
13318 18.04
13319 14.48
13319 1.16
13319 25.44
13319 18.04
13320 14.48
13320 1.16
13320 25.44
13320 18.04
13321 14.48
13321 1.16
13321 25.44
13321 18.04
13322 14.48
13322 1.16
13322 25.44
13322 18.04
13323 14.48
13323 1.16
13323 25.44
13323 18.04
13324 14.48
13324 1.16
13324 25.44
13324 18.04
13325 14.48
13325 1.16
13325 25.44
13325 18.04
13326 14.48
13326 1.16
13326 25.44
13326 18.04
13327 14.48
13327 1.16
13327 25.44
13327 18.04
13328 14.48
13328 1.16
13328 25.44
13328 18.04
13329 14.48
13329 1.16
13329 25.44
13329 18.04
13330 14.48
13330 1.16
13330 25.44
13330 18.04
13331 14.48
13331 1.16
13331 25.44
13331 18.04
13332 14.48
13332 1.16
13332 25.44
13332 18.04
13414 14.48
13414 1.16
13414 25.44
13414 18.04
13415 14.48
13415 1.16
13415 25.44
13415 18.04
13416 14.48
13416 1.16
13416 25.44
13416 18.04
13417 14.48
13417 1.16
13417 25.44
13417 18.04
13418 14.48
13418 1.16
13418 25.44
13418 18.04
13419 14.48
13419 1.16
13419 25.44
13419 18.04
13420 14.48
13420 1.16
13420 25.44
13420 18.04
13421 14.48
