pt_graph shape
10478 1
10478 1
10478 1
10478 1
10478 1
10478 1
10571 1
10571 1
10571 1
10571 1
10571 1
10571 1
10572 1
10572 1
10572 1
10572 1
10572 1
10572 1
10573 1
10573 1
10573 1
10573 1
10573 1
10573 1
10574 1
10574 1
10574 1
10574 1
10574 1
10574 1
10662 1
10662 1
10662 1
10662 1
10662 1
10662 1
10663 1
10663 1
10663 1
10663 1
10663 1
10663 1
10664 1
10664 1
10664 1
10664 1
10664 1
10664 1
10665 1
10665 1
10665 1
10665 1
10665 1
10665 1
10666 1
10666 1
10666 1
10666 1
10666 1
10666 1
10749 1
10749 1
10749 1
10749 1
10749 1
10749 1
10750 1
10750 1
10750 1
10750 1
10750 1
10750 1
10751 1
10751 1
10751 1
10751 1
10751 1
10751 1
10752 1
10752 1
10752 1
10752 1
10752 1
10752 1
10753 1
10753 1
10753 1
10753 1
10753 1
10753 1
10754 1
10754 1
10754 1
10754 1
10754 1
10754 1
10827 1
10827 1
10827 1
10827 1
10827 1
10827 1
10828 1
10828 1
10828 1
10828 1
10828 1
10828 1
10829 1
10829 1
10829 1
10829 1
10829 1
10829 1
10830 1
10830 1
10830 1
10830 1
10830 1
10830 1
10831 1
10831 1
10831 1
10831 1
10831 1
10831 1
10832 1
10832 1
10832 1
10832 1
10832 1
10832 1
10833 1
10833 1
10833 1
10833 1
10833 1
10833 1
10834 1
10834 1
10834 1
10834 1
10834 1
10834 1
10909 1
10909 1
10909 1
10909 1
10909 1
10909 1
10835 1
10835 1
10835 1
10835 1
10835 1
10835 1
10910 1
10910 1
10910 1
10910 1
10910 1
10910 1
10911 1
10911 1
10911 1
10911 1
10911 1
10911 1
10912 1
10912 1
10912 1
10912 1
10912 1
10912 1
10913 1
10913 1
10913 1
10913 1
10913 1
10913 1
10914 1
10914 1
10914 1
10914 1
10914 1
10914 1
10915 1
10915 1
10915 1
10915 1
10915 1
10915 1
10991 1
10991 1
10991 1
10991 1
10991 1
10991 1
10916 1
10916 1
10916 1
10916 1
10916 1
10916 1
10992 1
10992 1
10992 1
10992 1
10992 1
10992 1
10917 1
10917 1
10917 1
10917 1
10917 1
10917 1
10993 1
10993 1
10993 1
10993 1
10993 1
10993 1
10994 1
10994 1
10994 1
10994 1
10994 1
10994 1
10995 1
10995 1
10995 1
10995 1
10995 1
10995 1
10996 1
10996 1
10996 1
10996 1
10996 1
10996 1
10997 1
10997 1
10997 1
10997 1
10997 1
10997 1
10998 1
10998 1
10998 1
10998 1
10998 1
10998 1
11073 1
11073 1
11073 1
11073 1
11073 1
11073 1
10999 1
10999 1
10999 1
10999 1
10999 1
10999 1
11074 1
11074 1
11074 1
11074 1
11074 1
11074 1
11000 1
11000 1
11000 1
11000 1
11000 1
11000 1
11075 1
11075 1
11075 1
11075 1
11075 1
11075 1
11001 1
11001 1
11001 1
11001 1
11001 1
11001 1
11076 1
11076 1
11076 1
11076 1
11076 1
11076 1
11077 1
11077 1
11077 1
11077 1
11077 1
11077 1
11078 1
11078 1
11078 1
11078 1
11078 1
