pt_graph met
10297 3
10298 3
10299 3
10384 3
10385 3
10386 3
11858 3
11859 3
11860 3
11937 3
11938 3
11939 3
11960 3
12016 3
12036 3
12037 3
12089 3
12090 3
12096 3
12097 3
12098 3
12110 3
12111 3
12164 3
12172 3
12173 3
12174 3
12181 3
12185 3
12186 3
12228 3
12229 3
12230 3
12238 3
12239 3
12240 3
12241 3
12242 3
12243 3
12244 3
12245 3
12246 3
12247 3
12248 3
12252 3
12253 3
12294 3
12295 3
12296 3
12305 3
12306 3
12307 3
12308 3
12309 3
12310 3
12311 3
12312 3
12313 3
12314 3
12317 3
12318 3
12319 3
12354 3
12355 3
12356 3
12357 3
12358 3
12359 3
12366 3
12367 3
12368 3
12369 3
12374 3
12375 3
12378 3
12379 3
12380 3
12416 3
12417 3
12418 3
12419 3
12420 3
12421 3
12435 3
12436 3
12437 3
12439 3
12440 3
12441 3
12477 3
12478 3
12479 3
12480 3
12481 3
12482 3
12539 3
12540 3
12541 3
12542 3
12543 3
12544 3
12600 3
12601 3
12602 3
12603 3
12660 3
12661 3
12662 3
12663 3
12664 3
12665 3
12722 3
12723 3
12724 3
12725 3
12726 3
12783 3
12784 3
12785 3
12786 3
12787 3
12788 3
12842 3
12843 3
12844 3
12845 3
12846 3
12847 3
12903 3
12904 3
12905 3
12962 3
12963 3
12964 3
12965 3
13019 3
13020 3
13021 3
13022 3
13023 3
13080 3
13081 3
13082 3
13083 3
13135 3
13136 3
13137 3
13138 3
13139 3
13140 3
13141 3
13142 3
13194 3
13195 3
13196 3
13197 3
13198 3
13199 3
13253 3
13254 3
13255 3
13256 3
13257 3
13258 3
13310 3
13311 3
13312 3
13313 3
13314 3
13315 3
13316 3
13317 3
13318 3
13319 3
13369 3
13370 3
13371 3
13372 3
13373 3
13374 3
13375 3
13430 3
13431 3
13432 3
13433 3
13434 3
13435 3
13436 3
13437 3
13485 3
13486 3
13487 3
13488 3
13489 3
13490 3
13491 3
13492 3
13493 3
13544 3
13545 3
13546 3
13547 3
13548 3
13549 3
13598 3
13599 3
13600 3
13601 3
13602 3
13603 3
13604 3
13605 3
13606 3
13658 3
13659 3
13660 3
13661 3
13662 3
13663 3
13664 3
13665 3
13718 3
13719 3
13720 3
13721 3
13722 3
13723 3
13724 3
13725 3
13777 3
13778 3
13779 3
13780 3
13781 3
13782 3
13783 3
13784 3
13839 3
13840 3
13841 3
13899 3
