pt_graph cpue_kghour
7876 3.62
7876 0.29
7876 6.36
7876 4.51
7876 0.65
7876 0.69
7877 3.62
7877 0.29
7877 6.36
7877 4.51
7877 0.65
7877 0.69
7982 3.62
7982 0.29
7982 6.36
7982 4.51
7982 0.65
7982 0.69
7983 3.62
7983 0.29
7983 6.36
7983 4.51
7983 0.65
7983 0.69
7984 3.62
7984 0.29
7984 6.36
7984 4.51
7984 0.65
7984 0.69
7985 3.62
7985 0.29
7985 6.36
7985 4.51
7985 0.65
7985 0.69
8087 3.62
8087 0.29
8087 6.36
8087 4.51
8087 0.65
8087 0.69
8088 3.62
8088 0.29
8088 6.36
8088 4.51
8088 0.65
8088 0.69
8089 3.62
8089 0.29
8089 6.36
8089 4.51
8089 0.65
8089 0.69
8090 3.62
8090 0.29
8090 6.36
8090 4.51
8090 0.65
8090 0.69
8091 3.62
8091 0.29
8091 6.36
8091 4.51
8091 0.65
8091 0.69
8191 3.62
8191 0.29
8191 6.36
8191 4.51
8191 0.65
8191 0.69
8192 3.62
8192 0.29
8192 6.36
8192 4.51
8192 0.65
8192 0.69
8193 3.62
8193 0.29
8193 6.36
8193 4.51
8193 0.65
8193 0.69
8194 3.62
8194 0.29
8194 6.36
8194 4.51
8194 0.65
8194 0.69
8195 3.62
8195 0.29
8195 6.36
8195 4.51
8195 0.65
8195 0.69
8196 3.62
8196 0.29
8196 6.36
8196 4.51
8196 0.65
8196 0.69
8294 3.62
8294 0.29
8294 6.36
8294 4.51
8294 0.65
8294 0.69
8197 3.62
8197 0.29
8197 6.36
8197 4.51
8197 0.65
8197 0.69
8295 3.62
8295 0.29
8295 6.36
8295 4.51
8295 0.65
8295 0.69
8296 3.62
8296 0.29
8296 6.36
8296 4.51
8296 0.65
8296 0.69
8297 3.62
8297 0.29
8297 6.36
8297 4.51
8297 0.65
8297 0.69
8298 3.62
8298 0.29
8298 6.36
8298 4.51
8298 0.65
8298 0.69
8299 3.62
8299 0.29
8299 6.36
8299 4.51
8299 0.65
8299 0.69
8300 3.62
