pt_graph freq
7235 1
7341 1
7342 1
7343 1
7448 1
7449 1
7450 1
7451 1
7554 1
7555 1
7556 1
7557 1
7558 1
7559 1
7560 1
7664 1
7665 1
7666 1
7667 1
7668 1
7669 1
7670 1
7671 1
7769 1
7770 1
7771 1
7772 1
7773 1
7774 1
7775 1
7776 1
7777 1
7778 1
7779 1
7876 1
7877 1
7878 1
7879 1
7880 1
7881 1
7882 1
7883 1
7884 1
7885 1
7886 1
7887 1
7982 1
7983 1
7984 1
7985 1
7986 1
7987 1
7988 1
7989 1
7990 1
7991 1
7992 1
7993 1
7994 1
8087 1
8088 1
8089 1
8090 1
8091 1
8092 1
8093 1
8094 1
8095 1
8096 1
8097 1
8098 1
8099 1
8100 1
8191 1
8192 1
8193 1
8194 1
8195 1
8196 1
8197 1
8198 1
8199 1
8200 1
8201 1
8202 1
8203 1
8204 1
8205 1
8294 1
8295 1
8296 1
8297 1
8298 1
8299 1
8300 1
8301 1
8302 1
8303 1
8304 1
8305 1
8306 1
8307 1
8308 1
8309 1
8310 1
8399 1
8400 1
8401 1
8402 1
8403 1
8404 1
8405 1
8406 1
8407 1
8408 1
8409 1
8410 1
8411 1
8412 1
8413 1
8414 1
8415 1
8416 1
8504 1
8505 1
8506 1
8507 1
8508 1
8509 1
8510 1
8511 1
8512 1
8513 1
8514 1
8515 1
8516 1
8517 1
8518 1
8519 1
8520 1
8521 1
8522 1
8608 1
8609 1
8610 1
8611 1
8612 1
8613 1
8614 1
8615 1
8616 1
8617 1
8618 1
8619 1
8620 1
8621 1
8622 1
8623 1
8624 1
8625 1
8626 1
8627 1
8710 1
8711 1
8712 1
8713 1
8714 1
8715 1
8716 1
8717 1
8718 1
8719 1
8720 1
8721 1
8722 1
8723 1
8724 1
8725 1
8726 1
8727 1
8728 1
8729 1
8730 1
8731 1
8814 1
8815 1
8816 1
8817 1
8818 1
8819 1
8820 1
8821 1
8822 1
8823 1
8824 1
8825 1
8826 1
8827 1
8828 1
8829 1
8830 1
8831 1
8832 1
8833 1
8834 1
8914 1
8915 1
8916 1
8917 1
8918 1
8919 1
8920 1
8921 1
8922 1
8923 1
8924 1
8925 1
8926 1
8927 1
8928 1
8929 1
8930 1
8931 1
8932 1
8933 1
8934 1
8935 1
8936 1
8937 1
9014 1
9015 1
9016 1
9017 1
9018 1
9019 1
9020 1
9021 1
9022 1
9023 1
9024 1
9025 1
9026 1
9027 1
9028 1
9029 1
9030 1
9031 1
9032 1
9033 1
9034 1
9035 1
9036 1
9037 1
9038 1
9113 1
9114 1
9115 1
9116 1
9117 1
9118 1
9119 1
9120 1
9121 1
9122 1
9123 1
9124 1
9125 1
9126 1
9127 1
9128 1
9129 1
9130 1
9131 1
9132 1
9133 1
9134 1
9135 1
9136 1
9137 1
9138 1
9211 1
9212 1
9213 1
9214 1
9215 1
9216 1
9217 1
9218 1
9219 1
9220 1
9221 1
9222 1
9223 1
9224 1
9225 1
9226 1
9227 1
9228 1
9229 1
9230 1
9231 1
9232 1
9233 1
9234 1
9235 1
9236 1
9310 1
9311 1
9312 1
9313 1
9314 1
9315 1
9316 1
9317 1
9318 1
9319 1
9320 1
9321 1
9322 1
9323 1
9324 1
9325 1
9326 1
9327 1
9328 1
9329 1
9330 1
9331 1
9332 1
9333 1
9334 1
9335 1
9402 1
9403 1
9404 1
9405 1
9406 1
9407 1
9408 1
9409 1
