pt_graph scale
14343 7.92
14343 1.4
14343 45.24
14343 29.04
14343 2.84
14343 0.32
14413 7.92
14413 1.4
14413 45.24
14413 29.04
14413 2.84
14413 0.32
14414 7.92
14414 1.4
14414 45.24
14414 29.04
14414 2.84
14414 0.32
14415 7.92
14415 1.4
14415 45.24
14415 29.04
14415 2.84
14415 0.32
14486 7.92
14486 1.4
14486 45.24
14486 29.04
14486 2.84
14486 0.32
14487 7.92
14487 1.4
14487 45.24
14487 29.04
14487 2.84
14487 0.32
14488 7.92
14488 1.4
14488 45.24
14488 29.04
14488 2.84
14488 0.32
14489 7.92
14489 1.4
14489 45.24
14489 29.04
14489 2.84
14489 0.32
14490 7.92
14490 1.4
14490 45.24
14490 29.04
14490 2.84
14490 0.32
14491 7.92
14491 1.4
14491 45.24
14491 29.04
14491 2.84
14491 0.32
14492 7.92
14492 1.4
14492 45.24
14492 29.04
14492 2.84
14492 0.32
14559 7.92
14559 1.4
14559 45.24
14559 29.04
14559 2.84
14559 0.32
14560 7.92
14560 1.4
14560 45.24
14560 29.04
14560 2.84
14560 0.32
14561 7.92
14561 1.4
14561 45.24
14561 29.04
14561 2.84
14561 0.32
14562 7.92
14562 1.4
14562 45.24
14562 29.04
14562 2.84
14562 0.32
14563 7.92
14563 1.4
14563 45.24
14563 29.04
14563 2.84
14563 0.32
14629 7.92
14629 1.4
14629 45.24
14629 29.04
14629 2.84
14629 0.32
14564 7.92
14564 1.4
14564 45.24
14564 29.04
14564 2.84
14564 0.32
14630 7.92
14630 1.4
14630 45.24
14630 29.04
14630 2.84
14630 0.32
14565 7.92
14565 1.4
14565 45.24
14565 29.04
14565 2.84
14565 0.32
14631 7.92
14631 1.4
14631 45.24
14631 29.04
14631 2.84
14631 0.32
14566 7.92
14566 1.4
14566 45.24
14566 29.04
14566 2.84
14566 0.32
14632 7.92
14632 1.4
14632 45.24
14632 29.04
14632 2.84
14632 0.32
14633 7.92
14633 1.4
14633 45.24
14633 29.04
14633 2.84
14633 0.32
14634 7.92
14634 1.4
14634 45.24
14634 29.04
14634 2.84
14634 0.32
14698 7.92
14698 1.4
14698 45.24
14698 29.04
14698 2.84
14698 0.32
14635 7.92
14635 1.4
14635 45.24
14635 29.04
14635 2.84
14635 0.32
14699 7.92
14699 1.4
14699 45.24
14699 29.04
14699 2.84
14699 0.32
14636 7.92
14636 1.4
14636 45.24
14636 29.04
14636 2.84
14636 0.32
14700 7.92
14700 1.4
14700 45.24
14700 29.04
14700 2.84
14700 0.32
14637 7.92
14637 1.4
14637 45.24
14637 29.04
14637 2.84
14637 0.32
14701 7.92
14701 1.4
14701 45.24
14701 29.04
14701 2.84
14701 0.32
14638 7.92
14638 1.4
14638 45.24
14638 29.04
14638 2.84
14638 0.32
14702 7.92
14702 1.4
14702 45.24
14702 29.04
14702 2.84
14702 0.32
14639 7.92
14639 1.4
14639 45.24
14639 29.04
14639 2.84
14639 0.32
14703 7.92
14703 1.4
14703 45.24
14703 29.04
14703 2.84
14703 0.32
14769 7.92
14769 1.4
14769 45.24
14769 29.04
14769 2.84
14769 0.32
14704 7.92
14704 1.4
14704 45.24
14704 29.04
14704 2.84
14704 0.32
14770 7.92
14770 1.4
14770 45.24
14770 29.04
14770 2.84
14770 0.32
14705 7.92
14705 1.4
14705 45.24
14705 29.04
14705 2.84
14705 0.32
14771 7.92
14771 1.4
14771 45.24
14771 29.04
14771 2.84
14771 0.32
14706 7.92
14706 1.4
14706 45.24
14706 29.04
14706 2.84
14706 0.32
14772 7.92
14772 1.4
14772 45.24
14772 29.04
14772 2.84
14772 0.32
14707 7.92
14707 1.4
14707 45.24
14707 29.04
14707 2.84
14707 0.32
14773 7.92
14773 1.4
14773 45.24
14773 29.04
14773 2.84
14773 0.32
14708 7.92
14708 1.4
14708 45.24
14708 29.04
14708 2.84
14708 0.32
14774 7.92
14774 1.4
14774 45.24
14774 29.04
14774 2.84
14774 0.32
14840 7.92
14840 1.4
14840 45.24
14840 29.04
14840 2.84
14840 0.32
14775 7.92
14775 1.4
14775 45.24
14775 29.04
14775 2.84
14775 0.32
14841 7.92
14841 1.4
14841 45.24
14841 29.04
14841 2.84
14841 0.32
14776 7.92
14776 1.4
14776 45.24
14776 29.04
14776 2.84
14776 0.32
14842 7.92
14842 1.4
14842 45.24
14842 29.04
14842 2.84
14842 0.32
14777 7.92
14777 1.4
14777 45.24
14777 29.04
14777 2.84
14777 0.32
14843 7.92
14843 1.4
14843 45.24
14843 29.04
14843 2.84
14843 0.32
14778 7.92
14778 1.4
14778 45.24
14778 29.04
14778 2.84
14778 0.32
14909 7.92
14909 1.4
14909 45.24
14909 29.04
14909 2.84
14909 0.32
14844 7.92
14844 1.4
14844 45.24
14844 29.04
14844 2.84
14844 0.32
14779 7.92
14779 1.4
14779 45.24
14779 29.04
14779 2.84
14779 0.32
14910 7.92
14910 1.4
14910 45.24
14910 29.04
14910 2.84
14910 0.32
14845 7.92
14845 1.4
14845 45.24
14845 29.04
14845 2.84
14845 0.32
14780 7.92
14780 1.4
14780 45.24
14780 29.04
14780 2.84
14780 0.32
14911 7.92
14911 1.4
14911 45.24
14911 29.04
14911 2.84
14911 0.32
14846 7.92
14846 1.4
14846 45.24
14846 29.04
14846 2.84
14846 0.32
14912 7.92
14912 1.4
14912 45.24
14912 29.04
14912 2.84
14912 0.32
14847 7.92
14847 1.4
14847 45.24
14847 29.04
14847 2.84
14847 0.32
14782 7.92
14782 1.4
14782 45.24
14782 29.04
14782 2.84
14782 0.32
14913 7.92
14913 1.4
14913 45.24
14913 29.04
14913 2.84
14913 0.32
14848 7.92
14848 1.4
14848 45.24
14848 29.04
14848 2.84
14848 0.32
14914 7.92
14914 1.4
14914 45.24
14914 29.04
14914 2.84
14914 0.32
14849 7.92
14849 1.4
14849 45.24
14849 29.04
14849 2.84
14849 0.32
14915 7.92
14915 1.4
14915 45.24
14915 29.04
14915 2.84
14915 0.32
14850 7.92
14850 1.4
14850 45.24
14850 29.04
14850 2.84
14850 0.32
14981 7.92
14981 1.4
14981 45.24
14981 29.04
14981 2.84
14981 0.32
14916 7.92
14916 1.4
14916 45.24
14916 29.04
14916 2.84
14916 0.32
14851 7.92
14851 1.4
14851 45.24
14851 29.04
14851 2.84
14851 0.32
14982 7.92
14982 1.4
14982 45.24
14982 29.04
14982 2.84
14982 0.32
14917 7.92
14917 1.4
14917 45.24
14917 29.04
14917 2.84
14917 0.32
14983 7.92
14983 1.4
14983 45.24
14983 29.04
14983 2.84
14983 0.32
14918 7.92
14918 1.4
14918 45.24
14918 29.04
14918 2.84
14918 0.32
14853 7.92
14853 1.4
14853 45.24
14853 29.04
14853 2.84
14853 0.32
14984 7.92
14984 1.4
14984 45.24
14984 29.04
14984 2.84
14984 0.32
14919 7.92
14919 1.4
14919 45.24
14919 29.04
14919 2.84
14919 0.32
14854 7.92
14854 1.4
14854 45.24
14854 29.04
14854 2.84
14854 0.32
14985 7.92
14985 1.4
14985 45.24
14985 29.04
14985 2.84
14985 0.32
14920 7.92
14920 1.4
14920 45.24
14920 29.04
14920 2.84
14920 0.32
14986 7.92
14986 1.4
14986 45.24
14986 29.04
14986 2.84
14986 0.32
14921 7.92
14921 1.4
14921 45.24
14921 29.04
14921 2.84
14921 0.32
15052 7.92
15052 1.4
15052 45.24
15052 29.04
15052 2.84
15052 0.32
14987 7.92
14987 1.4
14987 45.24
14987 29.04
14987 2.84
14987 0.32
14922 7.92
14922 1.4
14922 45.24
14922 29.04
14922 2.84
14922 0.32
15053 7.92
15053 1.4
15053 45.24
15053 29.04
15053 2.84
15053 0.32
14988 7.92
14988 1.4
14988 45.24
14988 29.04
14988 2.84
14988 0.32
14923 7.92
14923 1.4
14923 45.24
14923 29.04
14923 2.84
14923 0.32
15054 7.92
15054 1.4
15054 45.24
15054 29.04
15054 2.84
15054 0.32
14989 7.92
14989 1.4
14989 45.24
14989 29.04
14989 2.84
14989 0.32
14924 7.92
14924 1.4
14924 45.24
14924 29.04
14924 2.84
14924 0.32
15055 7.92
15055 1.4
15055 45.24
15055 29.04
15055 2.84
15055 0.32
14990 7.92
14990 1.4
14990 45.24
14990 29.04
14990 2.84
14990 0.32
14925 7.92
14925 1.4
14925 45.24
14925 29.04
14925 2.84
14925 0.32
15056 7.92
15056 1.4
15056 45.24
15056 29.04
15056 2.84
15056 0.32
14991 7.92
14991 1.4
14991 45.24
14991 29.04
14991 2.84
14991 0.32
14926 7.92
14926 1.4
14926 45.24
14926 29.04
14926 2.84
14926 0.32
15057 7.92
15057 1.4
15057 45.24
15057 29.04
15057 2.84
15057 0.32
14992 7.92
14992 1.4
14992 45.24
14992 29.04
14992 2.84
14992 0.32
15123 7.92
15123 1.4
15123 45.24
15123 29.04
15123 2.84
15123 0.32
15058 7.92
15058 1.4
15058 45.24
15058 29.04
15058 2.84
15058 0.32
14993 7.92
14993 1.4
14993 45.24
14993 29.04
14993 2.84
14993 0.32
15124 7.92
15124 1.4
15124 45.24
15124 29.04
15124 2.84
15124 0.32
15059 7.92
15059 1.4
15059 45.24
15059 29.04
15059 2.84
15059 0.32
14994 7.92
14994 1.4
14994 45.24
14994 29.04
14994 2.84
14994 0.32
15125 7.92
15125 1.4
15125 45.24
15125 29.04
15125 2.84
15125 0.32
15060 7.92
15060 1.4
15060 45.24
15060 29.04
15060 2.84
15060 0.32
14995 7.92
14995 1.4
14995 45.24
14995 29.04
14995 2.84
14995 0.32
15126 7.92
15126 1.4
15126 45.24
15126 29.04
15126 2.84
15126 0.32
15061 7.92
15061 1.4
15061 45.24
15061 29.04
15061 2.84
15061 0.32
14996 7.92
14996 1.4
14996 45.24
14996 29.04
14996 2.84
14996 0.32
15127 7.92
15127 1.4
15127 45.24
15127 29.04
15127 2.84
15127 0.32
15062 7.92
15062 1.4
15062 45.24
15062 29.04
15062 2.84
15062 0.32
14997 7.92
14997 1.4
14997 45.24
14997 29.04
14997 2.84
14997 0.32
15128 7.92
15128 1.4
15128 45.24
15128 29.04
15128 2.84
15128 0.32
15063 7.92
15063 1.4
15063 45.24
15063 29.04
15063 2.84
15063 0.32
14998 7.92
14998 1.4
14998 45.24
14998 29.04
14998 2.84
14998 0.32
15193 7.92
15193 1.4
15193 45.24
15193 29.04
15193 2.84
15193 0.32
15129 7.92
15129 1.4
15129 45.24
15129 29.04
15129 2.84
15129 0.32
