pt_graph cpue_kghour
6375 0
6375 2.96
6375 0.04
6375 1.36
6375 2.44
6375 0
6482 0
6482 2.96
6482 0.04
6482 1.36
6482 2.44
6482 0
6051 0
6051 2.96
6051 0.04
6051 1.36
6051 2.44
6051 0
6052 0
6052 2.96
6052 0.04
6052 1.36
6052 2.44
6052 0
6053 0
6053 2.96
6053 0.04
6053 1.36
6053 2.44
6053 0
6055 0
6055 2.96
6055 0.04
6055 1.36
6055 2.44
6055 0
6154 0
6154 2.96
6154 0.04
6154 1.36
6154 2.44
6154 0
6155 0
6155 2.96
6155 0.04
6155 1.36
6155 2.44
6155 0
6156 0
6156 2.96
6156 0.04
6156 1.36
6156 2.44
6156 0
6157 0
6157 2.96
6157 0.04
6157 1.36
6157 2.44
6157 0
6158 0
6158 2.96
6158 0.04
6158 1.36
6158 2.44
6158 0
6159 0
6159 2.96
6159 0.04
6159 1.36
6159 2.44
6159 0
6160 0
6160 2.96
6160 0.04
6160 1.36
6160 2.44
6160 0
6161 0
6161 2.96
6161 0.04
6161 1.36
6161 2.44
6161 0
6262 0
6262 2.96
6262 0.04
6262 1.36
6262 2.44
6262 0
6263 0
6263 2.96
6263 0.04
6263 1.36
6263 2.44
6263 0
6264 0
6264 2.96
6264 0.04
6264 1.36
6264 2.44
6264 0
6265 0
6265 2.96
6265 0.04
6265 1.36
6265 2.44
6265 0
6266 0
6266 2.96
6266 0.04
6266 1.36
6266 2.44
6266 0
6267 0
6267 2.96
6267 0.04
6267 1.36
6267 2.44
6267 0
6268 0
6268 2.96
6268 0.04
6268 1.36
6268 2.44
6268 0
6371 0
6371 2.96
6371 0.04
6371 1.36
6371 2.44
6371 0
6372 0
6372 2.96
6372 0.04
6372 1.36
6372 2.44
6372 0
6373 0
6373 2.96
6373 0.04
6373 1.36
6373 2.44
6373 0
6374 0
6374 2.96
6374 0.04
6374 1.36
6374 2.44
6374 0
6376 0
6376 2.96
6376 0.04
6376 1.36
6376 2.44
6376 0
6054 0
6054 2.96
6054 0.04
6054 1.36
6054 2.44
6054 0
