vids pt_graph
ITAANCON103RP1 17924
ITAANCON103RP2 17924
ITAANCON103RP3 17924
ITAANCON25NT1 17924
ITAANCON25NT2 17924
ITAANCON25NT3 17924
ITAANCON25NT4 17924
ITAANCON25NT5 17924
ITAANCON25NT6 17924
ITAANCON25NT7 17924
ITAANCON25NT8 17924
ITAANCON25NT9 17924
ITAANCON25NT10 17924
ITAANCON25NT11 17924
ITAANCON25NT12 17924
ITAANCON25NT13 17924
ITAANCON77OT1 17924
ITAANCON77OT2 17924
ITAANCON77OT3 17924
ITAANCON77OT4 17924
ITAANCON77OT5 17924
ITAANCON77OT6 17924
ITAANCON77OT7 17924
ITAANCON77OT8 17924
ITAANCON77OT9 17924
ITAANCON77OT10 17924
ITAANCON77OT11 17924
ITAANCON77OT12 17924
ITAANCON77OT13 17924
ITAANCON77OT14 17924
ITABELLA10NT1 17927
ITABELLA10NT2 17927
ITABELLA10NT3 17927
ITABELLA10NT4 17927
ITABELLA10NT5 17927
ITABELLA10NT6 17927
ITABELLA10NT7 17927
ITABELLA63OT1 17927
ITABELLA63OT2 17927
ITABELLA63OT3 17927
ITABURAN44NT1 17976
ITABURAN44NT2 17976
ITABURAN44NT3 17976
ITABURAN93OT1 17976
ITABURAN93OT2 17976
ITABURAN93OT3 17976
ITABURAN93OT4 17976
ITACAORL45NT1 17930
ITACAORL45NT2 17930
ITACAORL45NT3 17930
ITACAORL45NT4 17930
ITACAORL45NT5 17930
ITACAORL45NT6 17930
ITACAORL45NT7 17930
ITACAORL45NT8 17930
ITACAORL45NT9 17930
ITACAORL94OT1 17930
ITACAORL94OT2 17930
ITACAORL94OT3 17930
ITACAORL94OT4 17930
ITACAORL94OT5 17930
ITACAORL94OT6 17930
ITACAORL94OT7 17930
ITACAORL94OT8 17930
ITACAORL94OT9 17930
ITACAORL94OT10 17930
ITACAORL94OT11 17930
ITACATTO11NT1 17931
ITACATTO11NT2 17931
ITACATTO11NT3 17931
ITACATTO12NL1 17931
ITACATTO64OT1 17931
ITACATTO64OT2 17931
ITACERVI13NT1 17932
ITACERVI13NT2 17932
ITACERVI13NT3 17932
ITACERVI13NT4 17932
ITACERVI65OT1 17932
ITACERVI65OT2 17932
ITACESEN14NT1 17933
ITACESEN14NT2 17933
ITACESEN66OT1 17933
ITACESEN66OT2 17933
ITACESEN66OT3 17933
ITACESEN66OT4 17933
ITACESEN66OT5 17933
ITACESEN66OT6 17933
ITACESEN66OT7 17933
ITACESEN66OT8 17933
ITACESEN66OT9 17933
ITACESEN66OT10 17933
ITACHIOG106RP1 17934
ITACHIOG106RP2 17934
ITACHIOG106RP3 17934
ITACHIOG106RP4 17934
ITACHIOG106RP5 17934
ITACHIOG106RP6 17934
ITACHIOG106RP7 17934
ITACHIOG106RP8 17934
ITACHIOG46NT1 17934
ITACHIOG46NT2 17934
ITACHIOG46NT3 17934
ITACHIOG46NT4 17934
ITACHIOG46NT5 17934
ITACHIOG46NT6 17934
ITACHIOG46NT7 17934
ITACHIOG46NT8 17934
ITACHIOG46NT9 17934
ITACHIOG46NT10 17934
ITACHIOG95OT1 17934
ITACHIOG95OT2 17934
ITACHIOG95OT3 17934
ITACHIOG95OT4 17934
ITACHIOG95OT5 17934
ITACHIOG95OT6 17934
ITACHIOG95OT7 17934
ITACHIOG95OT8 17934
ITACHIOG95OT9 17934
ITACHIOG95OT10 17934
ITACHIOG95OT11 17934
ITACHIOG95OT12 17934
ITACHIOG95OT13 17934
ITACHIOG95OT14 17934
ITACHIOG95OT15 17934
ITACHIOG95OT16 17934
ITACHIOG95OT17 17934
ITACHIOG95OT18 17934
ITACHIOG95OT19 17934
ITACHIOG95OT20 17934
ITACHIOG95OT21 17934
ITACHIOG95OT22 17934
ITACHIOG95OT23 17934
ITACHIOG95OT24 17934
ITACHIOG95OT25 17934
ITACIVIT104RP1 17935
ITACIVIT104RP2 17935
ITACIVIT26NT1 17935
ITACIVIT26NT2 17935
ITACIVIT26NT3 17935
ITACIVIT26NT4 17935
ITACIVIT26NT5 17935
ITACIVIT26NT6 17935
ITACIVIT26NT7 17935
ITACIVIT26NT8 17935
ITACIVIT78OT1 17935
ITACIVIT78OT2 17935
ITACIVIT78OT3 17935
ITACIVIT78OT4 17935
ITACIVIT78OT5 17935
ITACIVIT78OT6 17935
ITACIVIT78OT7 17935
ITACIVIT78OT8 17935
ITACIVIT78OT9 17935
ITACIVIT78OT10 17935
ITACIVIT78OT11 17935
ITACIVIT78OT12 17935
ITACUPRA27NT1 17968
ITACUPRA27NT2 17968
ITACUPRA27NT3 17968
ITACUPRA27NT4 17968
ITACUPRA79OT1 17968
ITAFANO28NT1 17936
ITAFANO28NT2 17936
ITAFANO28NT3 17936
ITAFANO28NT4 17936
ITAFANO28NT5 17936
ITAFANO28NT6 17936
ITAFANO29NL1 17936
ITAFANO80OT1 17936
ITAFANO80OT2 17936
ITAFANO80OT3 17936
ITAFANO80OT4 17936
ITAFANO80OT5 17936
ITAFANO80OT6 17936
ITAGABIC30NT1 17966
ITAGABIC30NT2 17966
ITAGABIC30NT3 17966
ITAGABIC81OT1 17966
ITAGABIC81OT2 17966
ITAGIULI1NT1 17938
ITAGIULI1NT2 17938
ITAGIULI1NT3 17938
ITAGIULI1NT4 17938
ITAGIULI1NT5 17938
ITAGIULI55OT1 17938
ITAGIULI55OT2 17938
ITAGIULI55OT3 17938
ITAGIULI55OT4 17938
ITAGORO15NT1 17939
ITAGORO15NT2 17939
ITAGORO15NT3 17939
ITAGORO15NT4 17939
ITAGORO15NT5 17939
ITAGORO15NT6 17939
ITAGORO15NT7 17939
ITAGORO15NT8 17939
ITAGORO15NT9 17939
ITAGORO15NT10 17939
ITAGORO15NT11 17939
ITAGORO15NT12 17939
ITAGORO15NT13 17939
ITAGORO15NT14 17939
ITAGORO15NT15 17939
ITAGORO15NT16 17939
ITAGORO15NT17 17939
ITAGORO15NT18 17939
ITAGORO15NT19 17939
ITAGORO15NT20 17939
ITAGORO15NT21 17939
ITAGORO15NT22 17939
ITAGORO15NT23 17939
ITAGORO15NT24 17939
ITAGORO15NT25 17939
ITAGORO15NT26 17939
ITAGORO15NT27 17939
ITAGORO15NT28 17939
ITAGORO15NT29 17939
ITAGORO15NT30 17939
ITAGORO15NT31 17939
ITAGORO15NT32 17939
ITAGORO15NT33 17939
ITAGORO15NT34 17939
ITAGORO67OT1 17939
ITAGORO67OT2 17939
ITAGORO67OT3 17939
ITAGORO67OT4 17939
ITAGORO67OT5 17939
ITAGORO67OT6 17939
ITAGORO67OT7 17939
ITAGORO67OT8 17939
ITAGORO67OT9 17939
ITAGORO67OT10 17939
ITAGORO67OT11 17939
ITAGORO67OT12 17939
ITAGORO67OT13 17939
ITAGORO67OT14 17939
ITAGORO67OT15 17939
ITAGORO67OT16 17939
ITAGORO67OT17 17939
ITAGORO67OT18 17939
ITAGORO67OT19 17939
ITAGORO67OT20 17939
ITAGORO67OT21 17939
ITAGORO67OT22 17939
ITAGORO67OT23 17939
ITAGORO67OT24 17939
ITAGORO67OT25 17939
ITAGORO67OT26 17939
ITAGORO67OT27 17939
ITAGORO67OT28 17939
ITAGORO67OT29 17939
ITAGORO67OT30 17939
ITAGORO67OT31 17939
ITAGORO67OT32 17939
ITAGRADO20NT1 17940
ITAGRADO20NT2 17940
ITAGRADO72OT1 17940
